SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 7, 48521, 0, 7, 20, 0, 148210, 964981068, 0, 
2, 24927, 43290, 0, 9, 26, 0, 359404488, 250964435, 0, 
3, 7, 17149, 0, 7, 29, 0, 156793, 81238869, 0, 
4, 6966, 8165, 0, 14, 22, 0, 59901073, 53917645, 0, 
5, 7, 24, 0, 7, 23, 0, 21429, 141007, 0, 
6, 25782, 53783, 0, 6, 28, 0, 322565240, 443943255, 0, 
7, 12, 14252, 0, 12, 14, 0, 93081, 70356038, 0, 
8, 31257, 36965, 0, 4, 20, 0, 215166827, 278833787, 0, 
9, 11, 15267, 0, 11, 24, 0, 56507, 99112134, 0, 
10, 6630, 34357, 0, 5, 24, 0, 50210915, 632767020, 0, 
11, 76197, 22198, 0, 8, 26, 0, 488357280, 115630552, 0, 
12, 42797, 5915, 0, 10, 30, 0, 465505254, 14309683, 0, 
13, 17292, 18, 0, 12, 18, 0, 148278555, 164192, 0, 
14, 6759, 19, 0, 10, 19, 0, 102087636, 175892, 0, 
15, 32192, 32094, 0, 9, 19, 0, 446182738, 181080409, 0, 
16, 95904, 41268, 0, 9, 22, 0, 751618648, 252163451, 0, 
17, 63421, 9964, 0, 12, 25, 0, 343619779, 49580115, 0, 
18, 9, 19492, 0, 9, 22, 0, 42382, 71042222, 0, 
19, 4, 57879, 0, 4, 20, 0, 6750, 228426173, 0, 
20, 35668, 58471, 0, 16, 17, 0, 61047088, 453459770, 0, 
21, 49836, 5798, 0, 18, 21, 0, 290826739, 48809533, 0, 
22, 26461, 6438, 0, 13, 24, 0, 33030829, 53956424, 0, 
23, 14, 17, 0, 14, 14, 0, 94079, 99149, 0, 
24, 6876, 29109, 0, 10, 23, 0, 36680323, 285830305, 0, 
25, 47680, 3362, 0, 15, 21, 0, 207199069, 16755966, 0, 
26, 7, 5833, 0, 7, 23, 0, 26465, 15389716, 0, 
27, 78934, 19217, 0, 11, 21, 0, 331201003, 111395611, 0, 
28, 585, 7229, 0, 5, 19, 0, 238662, 16597674, 0, 
29, 12602, 18, 0, 12, 18, 0, 45298790, 132666, 0, 
30, 62766, 52865, 0, 11, 12, 0, 245503629, 429004027, 0, 
31, 17099, 7428, 0, 9, 23, 0, 85001322, 34107521, 0, 
32, 9, 14, 0, 9, 14, 0, 43066, 76964, 0, 
33, 8, 7, 0, 8, 7, 0, 47583, 19794, 0, 
34, 2, 19, 0, 2, 19, 0, 2642, 155088, 0, 
35, 11263, 18011, 0, 10, 18, 0, 15247211, 165364516, 0, 
36, 13560, 6011, 0, 10, 16, 0, 15876887, 31765898, 0, 
37, 48482, 54573, 0, 17, 22, 0, 243922796, 315734201, 0, 
38, 24508, 1071, 0, 8, 24, 0, 30637119, 6999837, 0, 
39, 16, 18, 0, 15, 18, 0, 87872, 102059, 0, 
40, 24987, 16, 0, 7, 16, 0, 26448140, 109477, 0, 
41, 37088, 13491, 0, 14, 15, 0, 191337575, 73207553, 0, 
42, 3, 18, 0, 3, 18, 0, 3069, 195860, 0, 
43, 48025, 28670, 0, 16, 26, 0, 79494364, 146502447, 0, 
44, 15, 37914, 0, 15, 19, 0, 94808, 206601965, 0, 
45, 69, 7195, 0, 16, 17, 0, 207460, 28081354, 0, 
46, 6622, 17, 0, 10, 17, 0, 5034916, 100203, 0, 
47, 1274, 11325, 0, 6, 18, 0, 893702, 43701815, 0, 
48, 31877, 18, 0, 9, 17, 0, 174103435, 256589, 0, 
49, 20093, 22, 0, 12, 19, 0, 75639736, 93004, 0, 
50, 21, 25, 0, 9, 24, 0, 129800, 207638, 0, 
51, 6286, 35031, 0, 7, 14, 0, 4833739, 265988124, 0, 
52, 11, 19, 0, 11, 19, 0, 49468, 110933, 0, 
53, 9, 18, 0, 9, 18, 0, 67150, 223658, 0, 
54, 11, 18, 0, 11, 15, 0, 77354, 153770, 0, 
55, 9, 47694, 0, 9, 20, 0, 39944, 237737521, 0, 
56, 13, 17, 0, 8, 17, 0, 29948, 93922, 0, 
57, 11, 16, 0, 11, 16, 0, 64734, 119051, 0, 
58, 13083, 18, 0, 9, 15, 0, 28115170, 209335, 0, 
59, 5, 25, 0, 5, 19, 0, 47570, 160879, 0, 
60, 6923, 25, 0, 9, 24, 0, 5593692, 174774, 0, 
61, 6, 37774, 0, 6, 19, 0, 37005, 217167832, 0, 
62, 17718, 27, 0, 14, 26, 0, 29683310, 189379, 0, 
63, 12, 7964, 0, 12, 21, 0, 56837, 47426022, 0, 
64, 16, 34587, 0, 16, 16, 0, 122260, 287945012, 0, 
65, 69376, 19533, 0, 10, 17, 0, 336293834, 117972985, 0, 
66, 26040, 19699, 0, 6, 18, 0, 37878252, 88140971, 0, 
67, 10, 15, 0, 10, 12, 0, 152545, 209495, 0, 
68, 12, 18028, 0, 12, 19, 0, 60310, 77392795, 0, 
69, 11, 8802, 0, 11, 24, 0, 83983, 59681437, 0, 
70, 7, 29, 0, 7, 28, 0, 53245, 202590, 0, 
71, 576, 20, 0, 13, 18, 0, 493072, 117753, 0, 
72, 13835, 15, 0, 20, 15, 0, 23586670, 143101, 0, 
73, 7176, 6070, 0, 10, 23, 0, 5636565, 32960717, 0, 
74, 2841, 209, 0, 17, 20, 0, 4566183, 1140042, 0, 
75, 13, 60363, 0, 13, 23, 0, 58174, 303717873, 0, 
76, 6, 21, 0, 6, 21, 0, 61918, 100637, 0, 
77, 14854, 24, 0, 17, 24, 0, 24588381, 200716, 0, 
78, 10, 17, 0, 10, 16, 0, 147527, 127689, 0, 
79, 10, 14, 0, 10, 14, 0, 105423, 113686, 0, 
80, 28844, 41373, 0, 8, 23, 0, 116007926, 220798542, 0, 
81, 11, 31400, 0, 9, 23, 0, 24949, 142712783, 0, 
82, 9, 20873, 0, 9, 19, 0, 103737, 138742774, 0, 
83, 7877, 35182, 0, 17, 22, 0, 48444482, 154288882, 0, 
84, 324, 28072, 0, 14, 29, 0, 282098, 145040304, 0, 
85, 27111, 42899, 0, 12, 26, 0, 72458970, 259681556, 0, 
86, 8, 65231, 0, 8, 20, 0, 46626, 286823050, 0, 
87, 13379, 34, 0, 16, 17, 0, 30843536, 106934, 0, 
88, 9833, 6524, 0, 15, 24, 0, 22114005, 23359169, 0, 
89, 33051, 15846, 0, 10, 14, 0, 130811274, 54894276, 0, 
90, 21661, 43139, 0, 11, 26, 0, 45296809, 215193196, 0, 
91, 20, 55884, 0, 13, 28, 0, 73227, 241019830, 0, 
92, 10, 1374, 0, 10, 17, 0, 60753, 3006162, 0, 
93, 28367, 37406, 0, 14, 31, 0, 63983342, 221480746, 0, 
94, 46093, 52458, 0, 19, 22, 0, 173758537, 217202766, 0, 
95, 35289, 26, 0, 11, 26, 0, 152041406, 116796, 0, 
96, 20470, 34, 0, 10, 22, 0, 45059806, 276854, 0, 
97, 14788, 53117, 0, 11, 23, 0, 15903946, 305908174, 0, 
98, 13127, 38581, 0, 9, 18, 0, 19747261, 171683432, 0, 
99, 16517, 13, 0, 17, 13, 0, 74931892, 85234, 0, 
100, 7, 75106, 0, 7, 21, 0, 28796, 418460874, 0, 
